Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,Country,Season
143,Gabriel Dos Santos,BRA,DF,Arsenal,24,1997,38,38,3409,37.9,3,0,3,3,0,0,5,0,5.1,England Premier League,2022-2023
144,Abdoulaye Doucoure,MLI,MF,Everton,29,1993,25,17,1533,17.0,5,2,7,5,0,0,6,1,2.4,England Premier League,2022-2023
145,Cheick Doucoure,MLI,MF,Crystal Palace,22,2000,34,34,2769,30.8,0,3,3,0,0,0,10,1,1.4,England Premier League,2022-2023
146,Flynn Downes,ENG,MF,West Ham,23,1999,21,7,762,8.5,0,0,0,0,0,0,2,0,0.4,England Premier League,2022-2023
147,Kami Doyle,ENG,MF,Southampton,16,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
148,Cody Drameh,ENG,DF,Leeds United,20,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
149,Martin Dubravka,SVK,GK,Newcastle Utd,33,1989,2,1,157,1.7,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
150,Shane Duffy,IRL,"DF,FW",Fulham,30,1992,5,0,20,0.2,0,0,0,0,0,0,0,0,0.2,England Premier League,2022-2023
151,Lewis Dunk,ENG,DF,Brighton,30,1991,36,36,3239,36.0,1,0,1,1,0,0,4,0,1.7,England Premier League,2022-2023
152,Jhon Duran,COL,"FW,MF",Aston Villa,18,2003,12,0,136,1.5,0,0,0,0,0,0,1,0,0.6,England Premier League,2022-2023
153,Malcolm Ebiowei,ENG,"MF,FW",Crystal Palace,18,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
154,Ederson,BRA,GK,Manchester City,28,1993,35,35,3150,35.0,0,1,1,0,0,0,3,0,0.0,England Premier League,2022-2023
155,Odsonne Edouard,FRA,FW,Crystal Palace,24,1998,35,20,1803,20.0,5,2,7,5,0,0,3,0,4.2,England Premier League,2022-2023
156,Samuel Edozie,ENG,"FW,MF",Southampton,19,2003,17,5,567,6.3,0,0,0,0,0,0,0,0,0.9,England Premier League,2022-2023
157,Anthony Elanga,SWE,FW,Manchester Utd,20,2002,16,5,426,4.7,0,1,1,0,0,0,0,0,0.7,England Premier League,2022-2023
158,Harvey Elliott,ENG,"MF,FW",Liverpool,19,2003,32,18,1613,17.9,1,2,3,1,0,0,2,0,2.1,England Premier League,2022-2023
159,Mohamed Elneny,EGY,MF,Arsenal,30,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
160,Mohamed Elyounoussi,NOR,"MF,FW",Southampton,27,1994,33,27,2168,24.1,1,1,2,1,0,0,4,0,3.5,England Premier League,2022-2023
161,Emerson,BRA,DF,Tottenham,23,1999,26,20,1735,19.3,2,1,3,2,0,0,2,1,1.7,England Premier League,2022-2023
162,Julio Enciso,PAR,"FW,MF",Brighton,18,2004,20,7,806,9.0,4,2,6,4,0,0,1,0,4.0,England Premier League,2022-2023
163,Christian Eriksen,DEN,MF,Manchester Utd,30,1992,28,25,2048,22.8,1,8,9,1,0,0,3,0,5.0,England Premier League,2022-2023
164,Pervis Estupinan,ECU,DF,Brighton,24,1998,35,31,2675,29.7,1,5,6,1,0,0,4,0,1.7,England Premier League,2022-2023
165,Jonny Evans,NIR,DF,Leicester City,34,1988,13,12,1051,11.7,0,0,0,0,0,0,1,0,0.2,England Premier League,2022-2023
166,Eberechi Eze,ENG,"MF,FW",Crystal Palace,24,1998,38,30,2636,29.3,10,4,14,9,1,1,3,0,7.3,England Premier League,2022-2023
167,Lukasz Fabianski,POL,GK,West Ham,37,1985,36,36,3111,34.6,0,0,0,0,0,0,1,0,0.0,England Premier League,2022-2023
168,Fabinho,BRA,MF,Liverpool,28,1993,36,31,2671,29.7,0,2,2,0,0,0,11,0,0.7,England Premier League,2022-2023
169,Wout Faes,BEL,DF,Leicester City,24,1998,31,31,2786,31.0,1,2,3,1,0,0,6,1,1.2,England Premier League,2022-2023
170,Felipe,BRA,DF,Nott'ham Forest,33,1989,16,15,1418,15.8,0,1,1,0,0,0,4,0,1.2,England Premier League,2022-2023
171,Joao Felix,POR,"FW,MF",Chelsea,22,1999,16,11,941,10.5,4,0,4,4,0,0,1,1,4.9,England Premier League,2022-2023
172,Evan Ferguson,IRL,FW,Brighton,17,2004,19,10,950,10.6,6,2,8,6,0,0,1,0,5.3,England Premier League,2022-2023
173,Bruno Fernandes,POR,"MF,FW",Manchester Utd,27,1994,37,37,3316,36.8,8,8,16,6,2,2,6,0,9.3,England Premier League,2022-2023
174,Enzo Fernandez,ARG,MF,Chelsea,21,2001,18,18,1547,17.2,0,2,2,0,0,0,3,0,0.8,England Premier League,2022-2023
175,Roberto Firmino,BRA,"FW,MF",Liverpool,30,1991,25,13,1213,13.5,11,4,15,11,0,0,0,0,5.5,England Premier League,2022-2023
176,Junior Firpo,ESP,DF,Leeds United,25,1996,19,14,1368,15.2,1,1,2,1,0,0,6,1,0.1,England Premier League,2022-2023
177,Phil Foden,ENG,FW,Manchester City,22,2000,32,22,1842,20.5,11,6,17,11,0,0,1,0,5.9,England Premier League,2022-2023
178,Wesley Fofana,FRA,DF,Leicester City,21,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,England Premier League,2022-2023
179,Wesley Fofana,FRA,DF,Chelsea,21,2000,15,12,1183,13.1,1,0,1,1,0,0,3,0,0.7,England Premier League,2022-2023
180,Pablo Fornals,ESP,"FW,MF",West Ham,26,1996,32,17,1503,16.7,3,1,4,3,0,0,0,0,2.2,England Premier League,2022-2023
181,Adam Forshaw,ENG,MF,Leeds United,30,1991,12,5,479,5.3,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
182,Fraser Forster,ENG,GK,Tottenham,34,1988,14,13,1215,13.5,0,0,0,0,0,0,1,0,0.0,England Premier League,2022-2023
183,Tyrese Francois,AUS,FW,Fulham,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
184,Ryan Fraser,SCO,FW,Newcastle Utd,28,1994,8,3,313,3.5,0,0,0,0,0,0,1,0,0.3,England Premier League,2022-2023
185,Fred,BRA,MF,Manchester Utd,29,1993,35,12,1249,13.9,2,2,4,2,0,0,6,0,2.0,England Premier League,2022-2023
186,Ryan Fredericks,ENG,DF,Bournemouth,29,1992,12,5,533,5.9,0,0,0,0,0,0,1,0,0.0,England Premier League,2022-2023
187,Remo Freuler,SUI,MF,Nott'ham Forest,30,1992,28,24,2161,24.0,0,0,0,0,0,0,4,0,0.4,England Premier League,2022-2023
188,Cody Gakpo,NED,"FW,MF",Liverpool,23,1999,21,17,1458,16.2,7,2,9,7,0,0,0,0,6.2,England Premier League,2022-2023
189,Conor Gallagher,ENG,MF,Chelsea,22,2000,35,18,1621,18.0,3,1,4,3,0,0,11,1,2.5,England Premier League,2022-2023
190,Idrissa Gana Gueye,SEN,MF,Everton,32,1989,33,32,2577,28.6,0,1,1,0,0,0,7,0,0.7,England Premier League,2022-2023
191,Alejandro Garnacho,ARG,"FW,MF",Manchester Utd,18,2004,19,5,569,6.3,3,2,5,3,0,0,3,0,3.0,England Premier League,2022-2023
192,James Garner,ENG,"MF,DF",Everton,21,2001,16,7,804,8.9,0,1,1,0,0,0,3,0,0.8,England Premier League,2022-2023
193,David de Gea,ESP,GK,Manchester Utd,31,1990,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
194,Joe Gelhardt,ENG,FW,Leeds United,20,2002,15,1,212,2.4,0,2,2,0,0,0,1,0,0.8,England Premier League,2022-2023
195,Saman Ghoddos,IRN,"MF,FW",Brentford,28,1993,15,0,139,1.5,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
196,Morgan Gibbs-White,ENG,"FW,MF",Wolves,22,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.7,England Premier League,2022-2023
197,Morgan Gibbs-White,ENG,"MF,FW",Nott'ham Forest,22,2000,35,34,2971,33.0,5,8,13,3,2,2,5,0,6.0,England Premier League,2022-2023
198,Bryan Gil,ESP,"MF,FW",Tottenham,21,2001,4,2,148,1.6,0,1,1,0,0,0,1,0,0.1,England Premier League,2022-2023
199,Billy Gilmour,SCO,MF,Brighton,21,2001,14,7,507,5.6,0,1,1,0,0,0,1,0,0.5,England Premier League,2022-2023
200,Degnand Gnonto,ITA,"FW,MF",Leeds United,18,2003,24,14,1354,15.0,2,4,6,2,0,0,7,0,1.8,England Premier League,2022-2023
201,Ben Godfrey,ENG,DF,Everton,24,1998,13,10,802,8.9,0,1,1,0,0,0,2,0,1.2,England Premier League,2022-2023
202,Joao Gomes,BRA,MF,Wolves,21,2001,11,7,653,7.3,1,0,1,1,0,0,5,0,0.3,England Premier League,2022-2023
203,Toti Gomes,POR,DF,Wolves,23,1999,17,10,984,10.9,1,0,1,1,0,0,6,0,0.4,England Premier League,2022-2023
204,Joe Gomez,ENG,DF,Liverpool,25,1997,21,15,1466,16.3,0,0,0,0,0,0,3,0,0.2,England Premier League,2022-2023
205,Sergio Gomez,ESP,"DF,MF",Manchester City,21,2000,12,2,349,3.9,0,1,1,0,0,0,0,0,0.4,England Premier League,2022-2023
206,Anthony Gordon,ENG,"FW,MF",Newcastle Utd,21,2001,16,4,487,5.4,1,0,1,1,0,0,1,0,1.7,England Premier League,2022-2023
207,Anthony Gordon,ENG,FW,Everton,21,2001,16,12,1095,12.2,3,0,3,3,0,0,6,0,3.3,England Premier League,2022-2023
208,Demarai Gray,JAM,"FW,MF",Everton,26,1996,33,27,2507,27.9,4,1,5,2,2,2,3,0,6.2,England Premier League,2022-2023
209,Jack Grealish,ENG,FW,Manchester City,26,1995,28,23,2055,22.8,5,7,12,5,0,0,4,0,4.6,England Premier League,2022-2023
210,Sam Greenwood,ENG,"MF,FW",Leeds United,20,2002,18,3,424,4.7,1,2,3,1,0,0,1,0,0.7,England Premier League,2022-2023
211,Pascal Gross,GER,"MF,DF",Brighton,31,1991,37,37,3239,36.0,9,8,17,9,0,0,6,0,5.4,England Premier League,2022-2023
212,Vicente Guaita,ESP,GK,Crystal Palace,35,1987,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,England Premier League,2022-2023
213,Goncalo Guedes,POR,"FW,MF",Wolves,25,1996,13,8,707,7.9,1,1,2,1,0,0,1,0,1.2,England Premier League,2022-2023
214,Marc Guehi,ENG,DF,Crystal Palace,22,2000,37,37,3329,37.0,1,0,1,1,0,0,8,0,1.5,England Premier League,2022-2023
215,Bruno Guimaraes,BRA,MF,Newcastle Utd,24,1997,32,32,2726,30.3,4,5,9,4,0,0,7,0,2.8,England Premier League,2022-2023
216,Ilkay Gundogan,GER,MF,Manchester City,31,1990,31,27,2353,26.1,8,4,12,8,0,1,0,0,7.5,England Premier League,2022-2023
217,Darko Gyabi,ENG,FW,Leeds United,18,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,England Premier League,2022-2023
218,Erling Haaland,NOR,FW,Manchester City,22,2000,35,33,2769,30.8,36,8,44,29,7,7,5,0,28.4,England Premier League,2022-2023
219,Lewis Hall,ENG,DF,Chelsea,17,2004,9,8,654,7.3,0,0,0,0,0,0,1,0,0.9,England Premier League,2022-2023
220,Luke Harris,WAL,"MF,FW",Fulham,17,2005,3,0,13,0.1,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
221,Jack Harrison,ENG,"FW,MF",Leeds United,25,1996,36,34,2708,30.1,5,7,12,5,0,0,2,0,4.7,England Premier League,2022-2023
222,Kai Havertz,GER,"FW,MF",Chelsea,23,1999,35,30,2569,28.5,7,1,8,6,1,1,5,0,11.6,England Premier League,2022-2023
223,Jan Paul van Hecke,NED,DF,Brighton,22,2000,8,3,295,3.3,0,0,0,0,0,0,2,0,0.6,England Premier League,2022-2023
224,Hwang Hee-chan,KOR,"FW,MF",Wolves,26,1996,27,12,1130,12.6,3,1,4,3,0,0,1,0,2.9,England Premier League,2022-2023
225,Dean Henderson,ENG,GK,Nott'ham Forest,25,1997,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.0,England Premier League,2022-2023
226,Jordan Henderson,ENG,MF,Liverpool,32,1990,35,23,2074,23.0,0,2,2,0,0,0,2,0,1.4,England Premier League,2022-2023
227,Wayne Hennessey,WAL,GK,Nott'ham Forest,35,1987,4,3,271,3.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
228,Rico Henry,ENG,DF,Brentford,25,1997,37,37,3238,36.0,0,2,2,0,0,0,4,0,1.6,England Premier League,2022-2023
229,Son Heung-min,KOR,"MF,FW",Tottenham,30,1992,36,33,2888,32.1,10,6,16,10,0,0,2,0,10.1,England Premier League,2022-2023
230,Aaron Hickey,SCO,DF,Brentford,20,2002,26,23,1916,21.3,0,1,1,0,0,0,7,0,0.4,England Premier League,2022-2023
231,Jack Hinshelwood,ENG,FW,Brighton,17,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
232,Joseph Hodge,IRL,MF,Wolves,19,2002,6,1,175,1.9,0,0,0,0,0,0,1,0,0.3,England Premier League,2022-2023
233,Rob Holding,ENG,DF,Arsenal,26,1995,14,6,566,6.3,1,0,1,1,0,0,0,0,0.3,England Premier League,2022-2023
234,Mason Holgate,ENG,DF,Everton,25,1996,8,5,507,5.6,0,0,0,0,0,0,3,1,1.0,England Premier League,2022-2023
235,Will Hughes,ENG,MF,Crystal Palace,27,1995,27,7,842,9.4,1,1,2,1,0,0,4,0,0.3,England Premier League,2022-2023
236,Omari Hutchinson,ENG,FW,Chelsea,18,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
237,Pierre Hojbjerg,DEN,MF,Tottenham,26,1995,35,35,3131,34.8,4,5,9,4,0,0,5,0,2.0,England Premier League,2022-2023
238,Kelechi Iheanacho,NGA,"FW,MF",Leicester City,25,1996,28,11,1127,12.5,5,5,10,4,1,1,0,0,7.1,England Premier League,2022-2023
239,Danny Ings,ENG,FW,West Ham,30,1992,17,7,775,8.6,2,2,4,2,0,0,1,0,3.0,England Premier League,2022-2023
240,Danny Ings,ENG,FW,Aston Villa,30,1992,18,8,824,9.2,6,0,6,4,2,2,3,0,5.3,England Premier League,2022-2023
241,Alexander Isak,SWE,FW,Newcastle Utd,22,1999,22,17,1522,16.9,10,1,11,8,2,2,3,0,8.2,England Premier League,2022-2023
242,Daniel Iversen,DEN,GK,Leicester City,25,1997,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
243,Alex Iwobi,NGA,"MF,FW",Everton,26,1996,38,38,3378,37.5,2,7,9,2,0,0,2,0,2.5,England Premier League,2022-2023
244,Daniel James,WAL,FW,Leeds United,24,1997,4,2,198,2.2,0,0,0,0,0,0,0,0,0.3,England Premier League,2022-2023
245,Daniel James,WAL,FW,Fulham,24,1997,20,5,621,6.9,2,1,3,2,0,0,0,0,1.7,England Premier League,2022-2023
246,Reece James,ENG,"DF,MF",Chelsea,22,1999,16,14,1244,13.8,1,1,2,1,0,0,4,0,1.0,England Premier League,2022-2023
247,Vitaly Janelt,GER,"MF,DF",Brentford,24,1998,35,24,2208,24.5,3,1,4,3,0,0,3,0,2.4,England Premier League,2022-2023
248,Pontus Jansson,SWE,DF,Brentford,31,1991,12,9,724,8.0,1,0,1,1,0,0,0,0,0.3,England Premier League,2022-2023
249,Mathias Jensen,DEN,MF,Brentford,26,1996,37,37,2803,31.1,5,6,11,5,0,0,5,0,2.2,England Premier League,2022-2023
250,Gabriel Jesus,BRA,FW,Arsenal,25,1997,26,24,2064,22.9,11,6,17,10,1,1,6,0,14.0,England Premier League,2022-2023
251,Raul Jimenez,MEX,FW,Wolves,31,1991,15,8,846,9.4,0,1,1,0,0,0,0,0,2.6,England Premier League,2022-2023
252,Joelinton,BRA,"MF,FW",Newcastle Utd,25,1996,32,30,2661,29.6,6,1,7,6,0,0,12,0,7.1,England Premier League,2022-2023
253,Ben Johnson,ENG,DF,West Ham,22,2000,17,9,866,9.6,0,0,0,0,0,0,0,0,0.1,England Premier League,2022-2023
254,Brennan Johnson,WAL,"FW,MF",Nott'ham Forest,21,2001,38,33,2934,32.6,8,3,11,7,1,3,6,0,8.6,England Premier League,2022-2023
255,Sam Johnstone,ENG,GK,Crystal Palace,29,1993,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,England Premier League,2022-2023
256,Curtis Jones,ENG,MF,Liverpool,21,2001,18,12,1035,11.5,3,1,4,3,0,0,2,0,1.2,England Premier League,2022-2023
257,Jorginho,ITA,MF,Arsenal,30,1991,14,9,855,9.5,0,1,1,0,0,0,0,0,0.2,England Premier League,2022-2023
258,Jorginho,ITA,MF,Chelsea,30,1991,18,15,1279,14.2,2,0,2,0,2,2,4,0,1.7,England Premier League,2022-2023
259,Mateo Joseph,ENG,"FW,MF",Leeds United,18,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0.1,England Premier League,2022-2023
260,Diogo Jota,POR,FW,Liverpool,25,1996,22,12,1131,12.6,7,4,11,7,0,0,2,0,6.5,England Premier League,2022-2023
261,Hamed Junior Traore,CIV,"FW,MF",Bournemouth,22,2000,7,5,427,4.7,0,0,0,0,0,0,0,0,0.9,England Premier League,2022-2023
262,James Justin,ENG,DF,Leicester City,24,1998,14,14,1252,13.9,0,0,0,0,0,0,0,0,0.3,England Premier League,2022-2023
263,Mathias Jorgensen,DEN,DF,Brentford,32,1990,18,11,1103,12.3,0,0,0,0,0,0,2,0,0.9,England Premier League,2022-2023
264,Sasa Kalajdzic,AUT,FW,Wolves,25,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.3,England Premier League,2022-2023
265,Boubacar Kamara,FRA,MF,Aston Villa,22,1999,24,21,1777,19.7,0,1,1,0,0,0,4,0,0.2,England Premier League,2022-2023
266,Harry Kane,ENG,FW,Tottenham,29,1993,38,38,3405,37.8,30,3,33,25,5,6,6,0,21.5,England Premier League,2022-2023
267,N'Golo Kante,FRA,MF,Chelsea,31,1991,7,6,518,5.8,0,1,1,0,0,0,1,0,0.3,England Premier League,2022-2023
268,Michael Keane,ENG,DF,Everton,29,1993,12,10,985,10.9,1,2,3,1,0,0,0,0,1.3,England Premier League,2022-2023
269,Neeskens Kebano,COD,FW,Fulham,30,1992,17,9,764,8.5,0,3,3,0,0,0,0,0,0.5,England Premier League,2022-2023
270,Thilo Kehrer,GER,DF,West Ham,25,1996,27,25,2230,24.8,0,2,2,0,0,0,4,0,0.5,England Premier League,2022-2023
271,Naby Keita,GUI,MF,Liverpool,27,1995,8,3,293,3.3,0,0,0,0,0,0,1,0,0.6,England Premier League,2022-2023
272,Caoimhin Kelleher,IRL,GK,Liverpool,23,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
273,Lloyd Kelly,ENG,DF,Bournemouth,23,1998,23,23,2040,22.7,0,2,2,0,0,0,3,0,0.2,England Premier League,2022-2023
274,Max Kilman,ENG,DF,Wolves,25,1997,37,37,3307,36.7,0,0,0,0,0,0,3,0,1.3,England Premier League,2022-2023
275,Jakub Kiwior,POL,DF,Arsenal,22,2000,7,5,427,4.7,1,0,1,1,0,0,0,0,0.1,England Premier League,2022-2023
276,Mateusz Klich,POL,"MF,FW",Leeds United,32,1990,14,0,280,3.1,0,0,0,0,0,0,2,0,0.2,England Premier League,2022-2023
277,Robin Koch,GER,DF,Leeds United,26,1996,36,36,3175,35.3,0,0,0,0,0,0,7,0,1.5,England Premier League,2022-2023
278,Ibrahima Konate,FRA,DF,Liverpool,23,1999,18,17,1552,17.2,0,0,0,0,0,0,5,0,1.2,England Premier League,2022-2023
279,Ezri Konsa,ENG,DF,Aston Villa,24,1997,38,37,3322,36.9,0,0,0,0,0,0,6,0,1.1,England Premier League,2022-2023
280,Kalidou Koulibaly,SEN,DF,Chelsea,31,1991,23,20,1800,20.0,2,1,3,2,0,0,7,1,0.9,England Premier League,2022-2023
281,Cheikhou Kouyate,SEN,MF,Nott'ham Forest,32,1989,21,10,882,9.8,1,0,1,1,0,0,3,0,0.4,England Premier League,2022-2023
282,Mateo Kovacic,CRO,MF,Chelsea,28,1994,27,17,1707,19.0,1,2,3,1,0,0,8,0,1.8,England Premier League,2022-2023
283,Emil Krafth,SWE,DF,Newcastle Utd,27,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
284,Dejan Kulusevski,SWE,"MF,FW",Tottenham,22,2000,30,23,2067,23.0,2,7,9,2,0,0,2,0,2.6,England Premier League,2022-2023
